Satellite_PRN_number,year,month,day,hour,minute,second,SV_clock_bias,SV_clock_drift,SV_clock_drift_rate,IODE,C_rs,Delta_n,M0,C_uc,e_Eccentricity,C_us,sqrt_A,T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA_DOT,IDOT,Codes_on_L2_channel,GPS_Week,L2_P,SV_accuracy,SV_health,TGD,IODS,t_tm,Fit_interval
1,22,1,16,4,0,0,0.000456168,-9.78E-12,0,69,-69.375,4.15E-09,2.014489628,-3.76E-06,0.011261883,1.80E-06,5153.670877,14400,-2.48E-07,-1.408361638,-2.01E-07,0.986401564,359.875,0.882109706,-8.03E-09,-1.54E-10,1,2193,0,2,0,5.12E-09,69,7620,4
3,22,1,16,3,59,44,-8.01E-05,-1.51E-11,0,24,-107.21875,3.95E-09,0.844648394,-5.61E-06,0.00386774,9.78E-06,5153.706024,14384,-7.26E-08,-0.372888261,1.49E-08,0.972570778,196.21875,0.975859206,-7.70E-09,1.07E-12,1,2193,0,2,0,1.86E-09,24,7650,4
19,22,1,16,3,59,44,0.000106148,5.00E-12,0,7,105.59375,4.29E-09,0.328311155,5.50E-06,0.008933016,3.32E-06,5153.680088,14384,-6.71E-08,-2.361625357,-1.08E-07,0.978938072,328.09375,1.99705699,-8.25E-09,2.46E-10,1,2193,0,2,0,-1.58E-08,7,7950,4
26,22,1,16,4,0,0,0.000174762,3.41E-12,0,31,45.90625,4.78E-09,-0.193207794,2.48E-06,0.006779862,9.77E-06,5153.688486,14400,9.87E-08,2.71707268,5.40E-08,0.939233507,179,0.35039552,-8.09E-09,-3.31E-10,1,2193,0,2,0,6.98E-09,31,11190,4
4,22,1,16,4,29,36,-0.000194735,1.82E-12,0,180,11.5625,4.57E-09,-2.189730855,5.14E-07,0.001647088,7.74E-06,5153.656065,16176,-2.05E-08,0.707828268,3.17E-08,0.961001956,231.65625,-3.102930909,-7.85E-09,5.10E-10,1,2193,0,2,0,-4.19E-09,180,12060,4
6,22,1,16,4,0,0,0.00017221,1.10E-11,0,59,-77.46875,4.20E-09,2.381716923,-3.78E-06,0.002634725,1.03E-06,5153.652458,14400,7.26E-08,-1.416630614,3.73E-09,0.985783848,370.875,-0.999106196,-8.14E-09,-2.49E-10,1,2193,0,2,0,4.19E-09,59,13890,4
3,22,1,16,6,0,0,-8.02E-05,-1.51E-11,0,30,-102.6875,3.94E-09,1.897285467,-5.43E-06,0.003867283,9.53E-06,5153.704807,21600,-6.33E-08,-0.372943976,-1.02E-07,0.972571138,201.34375,0.975713869,-7.63E-09,3.57E-11,1,2193,0,2,0,1.86E-09,30,14400,4
4,22,1,16,6,0,0,-0.000194726,1.82E-12,0,181,12.125,4.54E-09,-1.398412759,5.16E-07,0.001647039,7.79E-06,5153.656603,21600,-5.40E-08,0.707785991,-3.91E-08,0.961004611,229.53125,-3.103104664,-7.84E-09,4.56E-10,1,2193,0,2,0,-4.19E-09,181,14430,4
6,22,1,16,6,0,0,0.000172289,1.10E-11,0,60,-73.40625,4.22E-09,-2.851400382,-3.67E-06,0.002634834,1.32E-06,5153.652395,21600,-5.59E-08,-1.41668972,8.20E-08,0.985782622,367.78125,-0.998982581,-8.09E-09,-1.32E-10,1,2193,0,2,0,4.19E-09,60,14460,4
12,22,1,16,6,0,0,-0.000156531,-5.68E-12,0,6,77.59375,3.91E-09,1.737909617,3.92E-06,0.008582665,1.10E-05,5153.625452,21600,-1.01E-07,2.839724118,-2.09E-07,0.971040774,171.03125,1.237703283,-7.59E-09,-2.70E-10,1,2193,0,2,0,-1.26E-08,6,14520,4
25,22,1,16,6,0,0,0.000271578,5.57E-12,0,29,62.90625,4.25E-09,1.505949368,3.21E-06,0.010372138,1.10E-05,5153.731363,21600,-2.35E-07,2.763413274,-1.30E-08,0.958413917,165.96875,0.972266013,-7.85E-09,-3.97E-10,1,2193,0,2,0,5.59E-09,29,14670,4
26,22,1,16,6,0,0,0.000174787,3.41E-12,0,32,48.96875,4.71E-09,0.856889058,2.66E-06,0.006779969,1.01E-05,5153.689018,21600,-4.84E-08,2.717015362,1.58E-07,0.939231234,172.65625,0.35047225,-7.98E-09,-4.31E-10,1,2193,0,2,0,6.98E-09,32,14700,4
31,22,1,16,6,0,0,-0.000160171,-1.82E-12,0,57,-10.78125,4.93E-09,1.95103063,-5.35E-07,0.01046021,6.06E-06,5153.664879,21600,-1.55E-07,1.745315916,6.71E-08,0.954774896,264.71875,0.366492734,-8.09E-09,-4.10E-10,1,2193,0,2,0,-1.30E-08,57,14730,4
32,22,1,16,6,0,0,-5.13E-05,-6.14E-12,0,70,5.59375,4.71E-09,-0.311407684,2.74E-07,0.005418533,7.79E-06,5153.758677,21600,3.35E-08,0.666142803,5.77E-08,0.957888894,228.65625,-2.373727474,-8.03E-09,4.26E-10,1,2193,0,2,0,4.66E-10,70,14760,4
1,22,1,16,6,0,0,0.000456098,-9.78E-12,0,83,-66.34375,4.08E-09,3.064645085,-3.55E-06,0.011261383,1.53E-06,5153.671923,21600,-1.86E-08,-1.408418645,-2.09E-07,0.986401125,362.875,0.882133573,-7.89E-09,-1.46E-10,1,2193,0,2,0,5.12E-09,83,14790,4
16,22,1,16,6,0,0,-0.000456287,-5.46E-12,0,31,62.71875,4.04E-09,-0.118074918,3.47E-06,0.012645283,1.02E-05,5153.591803,21600,8.38E-08,2.858351622,1.75E-07,0.971012585,188.46875,0.697627827,-7.82E-09,-2.29E-10,1,2193,0,2,0,-1.02E-08,31,15660,4
